epoque,entrainement_perte,entrainement_miou,entrainement_dice,entrainement_precision_pixel,validation_perte,validation_miou,validation_dice,validation_precision_pixel
1,0.7105948890958513,0.4521242584519881,0.5337327452265765,0.8021553781603564,0.38438722351253435,0.5554008138231817,0.6204645148456066,0.8891410139583101
2,0.4172153437087516,0.5336691298526343,0.6051900310376821,0.8701293111849232,0.30535971968365994,0.5802141073370761,0.6432837291795016,0.9039865108144364
3,0.3621093396880046,0.5728552048314045,0.652354522569263,0.8834262315966502,0.2800306413797724,0.6084171941497867,0.6775156709210471,0.9099410120272796
4,0.3307471044674641,0.5969027662699173,0.6777027232089737,0.8919205487275323,0.26815361934620263,0.6257622331114412,0.6986063894075426,0.9116279918875471
5,0.30868091152495697,0.610728805699734,0.6915198380093877,0.8986358821892939,0.25662335343408904,0.6345668042090452,0.7094368341780877,0.9142436857191508
6,0.2956047786884949,0.6196527069008875,0.7028023088212547,0.9017499335673677,0.24526577267870808,0.6425250300678472,0.7193652988183057,0.918035894832355
7,0.27954747884714304,0.6339447363676044,0.7192855429849484,0.9065340034100188,0.23895176255062922,0.652812230033862,0.7310819446792756,0.9196968962682174
8,0.26975726515305143,0.6408416261536442,0.7277496618584175,0.9089598053643684,0.23478358883985737,0.6587799111807572,0.7403226780246034,0.920329876794111
9,0.2628024754904899,0.647346275762967,0.7348677686893614,0.9109131183944831,0.2254977867307279,0.6685033267469354,0.7504860877143634,0.9229395361554703
10,0.25424911136887657,0.654000252172924,0.7418735234974799,0.9131331669182337,0.22249669596652857,0.6765293847691816,0.7614747352322299,0.9228120902240676
11,0.2527075658826267,0.6549530598046798,0.7433918858432967,0.9131989059328031,0.2183462887402349,0.6773532930229826,0.7603349279176437,0.9251570925616578
12,0.24876378832244073,0.6581150676741735,0.7466101018443108,0.9143864832004579,0.2210783404391884,0.6696574675894382,0.7511706633674793,0.9243587699512508
13,0.24043363848654162,0.6646733726540581,0.7524129187814468,0.9168618271330825,0.21489281682360092,0.6786450136354707,0.7611528500222572,0.9256226452405021
14,0.23701376431629437,0.6672890719668008,0.755531328746278,0.9177299171936613,0.21333147755405246,0.6790359940216673,0.7610110260436117,0.9266431719664759
15,0.23536022601007414,0.669599284334039,0.7573591012007483,0.9181664957719691,0.21239624567479895,0.6802045395646328,0.7626811949432635,0.9267661015459355
16,0.23290035126089048,0.671120333640184,0.7591960022396835,0.9190785802712962,0.20836640384373248,0.679796674098843,0.7613389395044262,0.9275036902235658
17,0.22571456418568348,0.6777955097643106,0.7654307573063724,0.9213623766137772,0.2051239516711075,0.6858360342212021,0.7687749288559141,0.9286183066816138
18,0.22371460653904104,0.6787478627874064,0.7660088726411468,0.9218393473064198,0.20555180286201055,0.686782077824259,0.7695422986301463,0.9282088291725056
19,0.22775249739154046,0.6780566521941683,0.7661642176885112,0.9202745205214043,0.20391950431286088,0.688506924229975,0.7713571225781161,0.9290149631916277
20,0.2212365490423531,0.6812811972259601,0.7693426475157552,0.9225433610066647,0.20202737986641442,0.6960866256367501,0.7800262439096726,0.9294978028175814
21,0.2212280739255312,0.6829745086081529,0.770389930969998,0.9225403299852579,0.20186292295087904,0.6908567618112162,0.7726294210140985,0.930033564967597
22,0.2170331689990869,0.6847140114519507,0.7723496059539338,0.923882612160274,0.20817860240904276,0.6918424961492862,0.7766974035615154,0.9275985396148374
23,0.2159281807035959,0.6879473619531473,0.7752960802844439,0.9242316647737968,0.19996185850777082,0.6976232708130123,0.782577226283007,0.9299563197481552
24,0.21070372427211087,0.6894130600911318,0.7763959326928896,0.9256395563358019,0.19959633322370132,0.6977820621994943,0.7821911307920527,0.9304050783182951
25,0.2112166146395587,0.6907143511974309,0.7777611872513337,0.925654187823544,0.2022633321533267,0.6910057616106635,0.7742915745443716,0.9291952904438813
26,0.21243271598545443,0.689407056393489,0.7767207545266905,0.9250119813350068,0.19703215745671485,0.6993306540367029,0.783119634290956,0.9312049994532694
27,0.2084132589963304,0.6945387472589749,0.7814405665510696,0.9265165960087496,0.19582915326092867,0.701370441655435,0.7850036581169876,0.9316082996810042
28,0.2045567019772129,0.6962551060357882,0.7829121639776933,0.9275781877902376,0.19468517641493138,0.7026506291154422,0.786283837157694,0.9319270429195173
29,0.20798382824208556,0.6919167157033425,0.7787393793572992,0.9264339460044347,0.1961625104882573,0.699181692757991,0.7835444967333144,0.9309118258073026
30,0.20476222171002076,0.6944972565262446,0.7809969456388728,0.9273634442762166,0.1948773484402055,0.7005880938878737,0.7833739500676696,0.9318616910268797
