epoque,entrainement_perte,entrainement_miou,entrainement_dice,entrainement_precision_pixel,validation_perte,validation_miou,validation_dice,validation_precision_pixel
1,1.073352500043734,0.39687670259333735,0.5068654177660392,0.6869650653717092,0.7803245342817883,0.496458141323661,0.6076137547458655,0.7735104368837088
2,0.8074664600971171,0.47460794874528367,0.5876218997134354,0.7563822389853121,0.7467623957051527,0.5259499152455094,0.6357713830667763,0.8023513147494937
3,0.7272261043991706,0.5038979124898042,0.6163006157719646,0.7838775830638127,0.5965060991728866,0.5409787276817725,0.654027423288226,0.8137560134766085
4,0.6778317515797888,0.5229331382682445,0.6348659096237645,0.7985731244889975,0.5743606404570125,0.5328741348279382,0.6408741162977599,0.80401569724883
5,0.6518860454812194,0.5316014847456527,0.6431808106981471,0.805528276797497,0.5665614312927195,0.5557763170890258,0.6598373969144107,0.8159670265728995
6,0.6274334307170476,0.5410740962502728,0.6522224393051229,0.8124206886949764,0.5567226961955128,0.6130338875402868,0.7179353127649345,0.8773185054727849
7,0.6091676100034906,0.5493307092425562,0.6597267767591816,0.8188025336273591,0.5423838770229544,0.5564122032354042,0.6664595972768937,0.8322397954511962
8,0.5913598376893837,0.5549527230304968,0.6647420017642415,0.82208782645187,0.48903216751629874,0.5895688561385669,0.6925102570724945,0.843444243773518
9,0.5636511427986903,0.5660169188623685,0.6758570677181516,0.8294897146698602,0.463906620772893,0.5901877736553744,0.6927693689937653,0.8434551126204881
10,0.5550421539581183,0.5689745897164904,0.6781443521330608,0.8320671130310405,0.46786911835606465,0.6239497875414726,0.7257155466583808,0.8605974540614442
11,0.5472791875251616,0.5724619007171617,0.68144688137165,0.8344357775317298,0.4495318313973062,0.6285090023787093,0.7313619683045438,0.877601916758006
12,0.5293923930989372,0.5768883662002539,0.6859104698912489,0.8384402383256842,0.44217777992254936,0.589128814000919,0.6948836211256978,0.8394016823512596
13,0.5161421521745547,0.58250653854654,0.690540380037908,0.8427842739053848,0.462618949829332,0.5804095198917346,0.6903242042495645,0.8361340397156325
14,0.5109490837512995,0.584507737307492,0.6929662875179086,0.8437653106671793,0.42933908144899663,0.6265711322154659,0.7273526509409588,0.8799060375098414
15,0.4931026424723442,0.5930380552562304,0.70003046420509,0.8489431631484818,0.4302026009399619,0.632576382706735,0.7339180258829447,0.8801054254474255
16,0.502577621427048,0.5883114129000969,0.6958413947974168,0.847022829332737,0.42026307258829976,0.6154495765775346,0.7199480949211281,0.8674940302868017
17,0.4781365158280941,0.5972868489010883,0.7042868843937453,0.8530785165451191,0.444508370937117,0.6333329505420735,0.738157261352307,0.874863805386844
18,0.47637842229319743,0.5993635755588812,0.7062135774589369,0.8539656448845911,0.4178449023489984,0.6224233886123675,0.724840036154996,0.8595069782845925
19,0.4687671250967867,0.6036055175005022,0.7098175902656275,0.8566600597065306,0.399370689920131,0.6329908768790472,0.7338028356341484,0.8799949540387864
20,0.462129724196312,0.6033274099288197,0.7091068536102799,0.8574112413908898,0.41367165164259456,0.6114750216856518,0.7138778361828151,0.8666123939840585
21,0.45298967573177135,0.607895327779678,0.7137915827021195,0.86023286607129,0.41753899561078756,0.661054226347474,0.75987990958113,0.8959030797017501
22,0.45577794253224074,0.606729286275307,0.7128844069857474,0.8591673294903854,0.40737365516240165,0.6218787112741734,0.7231050369492871,0.8691920258054797
23,0.45035062853234387,0.6087720769612577,0.7145576551374122,0.8601577314062151,0.3859062234827336,0.6179285729364539,0.723763083574313,0.8654901149288919
24,0.4385344722756633,0.6141141513632543,0.7190269626893268,0.8642228112276957,0.3909026040326829,0.6435280859765969,0.7466750443073453,0.8836833190597944
25,0.4386270123499411,0.614469146538327,0.7196074781381524,0.8642614006193399,0.36452719159174285,0.6493662602701255,0.7500350629331765,0.8861970517459332
