epoque,entrainement_perte,entrainement_miou,entrainement_dice,entrainement_precision_pixel,validation_perte,validation_miou,validation_dice,validation_precision_pixel
1,1.0327193656754414,0.428293231563418,0.5391974395395457,0.7101513841738203,0.6305832398817843,0.5553695558548589,0.663834247733507,0.8330786368190842
2,0.6776326170774422,0.5363461942794272,0.6476377391288184,0.8073922809125599,0.5245453355296347,0.5928470516636702,0.697930269534936,0.8589110310445696
3,0.6029416140582826,0.5608708489504066,0.6698491270432804,0.8256883978442311,0.49148793488540904,0.603343993020672,0.7053239807505706,0.8546999720919052
4,0.5569453838999424,0.5763714475208167,0.684115038059146,0.8367937779185748,0.45835502315687654,0.6242106647236076,0.7259869057380617,0.8783870051371171
5,0.5304848930049023,0.5833337391871329,0.6902861299133146,0.8421083006393227,0.43590687185325877,0.6295886799268077,0.7299185530057121,0.8761288259653437
6,0.5014748401714094,0.5940604790061491,0.700490145853652,0.8487029730872273,0.4208781195166927,0.6259796016619235,0.7269933696912141,0.8750019453515943
7,0.4869840019680434,0.5981556900192447,0.7037965877530639,0.8517364753215803,0.41681065445378324,0.6290941421187916,0.728127740040247,0.8780466498144521
8,0.4709682130954081,0.6052028855929977,0.7097803074568025,0.856502736156637,0.40936133615522574,0.6444492361032098,0.7442803826149422,0.882026248730269
9,0.45851451615091127,0.6107667574630518,0.71451296827802,0.8599449904880139,0.39563786423446345,0.6434339279635809,0.7421686156613243,0.8856006760725239
10,0.44716077054590486,0.6146892351182328,0.7185481651904227,0.8628217444476054,0.3931834279690813,0.6341675589724135,0.7328879710916063,0.8782293960552088
11,0.4386529146320491,0.618916354310365,0.7223205834031458,0.8655920253458248,0.3840466910760675,0.64359287396874,0.7423491822285374,0.8840198272826688
12,0.4327692987541558,0.6219503526109446,0.7244914890141069,0.867438585469217,0.3837150816349375,0.6507874690957425,0.7510914237722303,0.8879213397134871
13,0.4163751067336561,0.6278487090251875,0.7296438511704877,0.8716342030751585,0.37976532964498405,0.654563892055188,0.7528325260064521,0.891871711551743
14,0.41541118390532056,0.627397722928918,0.729765683463749,0.8709467679563195,0.3798714109115153,0.6578157990282044,0.7572406183267891,0.8931217429621908
15,0.4128941925186099,0.6284407102448551,0.7300508946351882,0.8730498949686686,0.3759567610569448,0.667373549843815,0.7643581291492036,0.9021024815988221
16,0.39989266579701044,0.6344297028362103,0.735666668031028,0.8758194785728197,0.3711202407643299,0.668183270491647,0.764783696962386,0.902633931812824
17,0.3950142918361558,0.6364410879425719,0.7377724842927198,0.8777082933721317,0.36224379255467615,0.6618690023940299,0.7599347461203355,0.8953786536351146
18,0.39740461866161236,0.6343663676001952,0.7354132747019376,0.8762108626389744,0.3638059254860718,0.6540946323961949,0.7509671931893549,0.8933439906811554
19,0.3910232616795434,0.6383121283734366,0.7392390016242125,0.8781738934492824,0.3597338177613764,0.6613896808735924,0.7566435463342763,0.8965449673217415
20,0.38482717407070827,0.6403441884787112,0.7407465142546379,0.879644287656052,0.35795803358090805,0.661028510932076,0.7576086039421516,0.8932641328581228
21,0.37827697155451534,0.6443430843939085,0.7437831526243948,0.8816022622063505,0.3574161331525585,0.6593875852959932,0.7558291846483468,0.8964604111325821
