epoque,entrainement_perte,entrainement_miou,entrainement_dice,entrainement_precision_pixel,validation_perte,validation_miou,validation_dice,validation_precision_pixel
1,0.7220315502972162,0.4271991834752648,0.5125076362948257,0.78211287054695,0.4244479002968577,0.5295833094537393,0.6006662395947726,0.8709534054634555
2,0.4783645937422744,0.4927594221367033,0.5727907030497944,0.8407737362284621,0.4548116730363577,0.49658691278632766,0.575472614109608,0.8387177342536466
3,0.44136104005224563,0.5076097135422514,0.5842052957378615,0.8520226286238983,0.43350303653102595,0.524098320560842,0.597575091276577,0.8628085407634709
4,0.4136746785971297,0.5202893908399381,0.5958742133927912,0.8608947036646996,0.33759469283907206,0.5508971459435996,0.6218872166860865,0.8893834032468347
5,0.4001365855461409,0.534125952216972,0.6150295694064459,0.8655064442578484,0.3706373282326948,0.5627864470644028,0.6501494444104714,0.8750005728446397
6,0.37691504183937524,0.5554159688405252,0.6403975951367568,0.8727571614650117,0.35414663607242125,0.565783671667736,0.6451153672872513,0.8837447102437883
7,0.3641802903233456,0.5693106568857924,0.6568199613864488,0.8776093382795318,0.28628534228609714,0.6046446982241661,0.6808343026970113,0.9053670083916427
8,0.3476877546110073,0.5799958633962442,0.6673798414454649,0.8827311454700822,0.29248568115618406,0.5959701237095801,0.6819870087792093,0.9003816815030655
9,0.34363585384953926,0.5823893276425226,0.6711463041655409,0.8841891397949027,0.27356292397383875,0.615012538801127,0.6925222963774812,0.9085524870245248
10,0.3316977848525809,0.5928440264958769,0.6811799445434968,0.8882982522499662,0.26565043358194745,0.6292882445231269,0.7094151465075702,0.9119031305281108
11,0.3227019993447456,0.59754539480202,0.6861929702768341,0.8911577547297759,0.26808660472399437,0.6323769372959782,0.715928854238658,0.909453441632674
12,0.31936562274183544,0.600676779575362,0.6893643404591783,0.8915944505138558,0.2644949014354872,0.6278268491527408,0.7066526423387868,0.912974294000024
13,0.3154508238830486,0.6055299488891793,0.6947087976217086,0.8932069253520806,0.26503892472926405,0.6374954856604828,0.7215496184444519,0.9098846540355042
14,0.30455928813008704,0.6131886561958299,0.7018256151055914,0.8965437606603157,0.27266842536878266,0.623938495115904,0.7079890889075783,0.9074602707120396
15,0.3006645955207969,0.6178525685071337,0.7067557434286317,0.8981345595431929,0.24334160883554676,0.64965260571819,0.732593480015802,0.9175305622536064
16,0.29801580392512955,0.6172420391297334,0.706878034552079,0.8980662844762081,0.2630297145587486,0.6519298349287509,0.7404498460815494,0.9107478056978059
17,0.2926753317858993,0.6215097326490668,0.7110241374143356,0.8998046604525142,0.26229029073811216,0.6401785996738137,0.725392513404469,0.9116541367249201
18,0.2898503242420549,0.6254239222047674,0.7146673295215211,0.9012643177970117,0.2419519123415019,0.6616523100220455,0.7481243540949021,0.9180376517692669
19,0.2838782446474588,0.6297641408580941,0.7187623398647409,0.9033689331607658,0.24077806606788763,0.6585509265573521,0.744730661041421,0.9172282026918143
20,0.28520450584527823,0.6277281866851986,0.7175859367967644,0.9025700081296327,0.3098706040006356,0.6163031217327227,0.7078268189260619,0.8967631087207154
21,0.28126358099344395,0.6319808861825764,0.7219865686579855,0.90341399587503,0.23890076517658745,0.6439376058123661,0.722901015914929,0.9187865449278146
22,0.2764340297264211,0.6370382875525763,0.7278347096631356,0.9048880386753243,0.23283113909247738,0.6554819103916365,0.7377500226505884,0.920312167814114
