epoque,entrainement_perte,entrainement_miou,entrainement_dice,entrainement_precision_pixel,validation_perte,validation_miou,validation_dice,validation_precision_pixel
1,1.0897626338984427,0.39301959579517487,0.5006643103640344,0.6874917903507398,0.7908256401951681,0.4963306516226431,0.6059880854947931,0.7613524546559225
2,0.7994020251111952,0.4769248477718479,0.5895638938442098,0.7591309134004894,0.7936928224243573,0.48350671343493123,0.6017284038685018,0.7617001425499884
3,0.7380375882692208,0.4986549467897033,0.6105446617101203,0.7789579126168582,0.6015373146373953,0.5821828673977066,0.6887046393066344,0.8589912376947851
4,0.6850710913589105,0.5213894035176696,0.6330855161363752,0.7975470391588179,0.648424832212845,0.5089794434354791,0.6092050390881898,0.7718830232652242
5,0.6498800503585475,0.5331909716901785,0.644128990112549,0.8076320378868668,0.5675913413499025,0.5998842912993722,0.7060577599163658,0.8634087423350187
6,0.6273097060746216,0.5432459866984084,0.6539397748284508,0.8153591821290026,0.5361783578491851,0.6133441687334378,0.7178363261435494,0.8772248389736917
7,0.6131026835152598,0.5472542844378265,0.6580939165294416,0.8181605146388815,0.4951824939890996,0.5951771998150149,0.6984169859500474,0.853401960542538
8,0.5825346213599247,0.5567709925656497,0.6668309069632449,0.8250347256459772,0.4930455404640044,0.5769356899776652,0.684110256707837,0.8315039289077656
9,0.5690382961371933,0.5624244204560257,0.6725754809520298,0.8287524278918501,0.477129680198311,0.5936563240525482,0.6996594845700373,0.8472970216066246
10,0.5552518849421029,0.5682855870509598,0.677322009070817,0.8333831929197215,0.48429213554267114,0.6160768554670301,0.7172958439720972,0.8566275727028815
11,0.5430811226668985,0.5733086295404317,0.6818596170999203,0.8365407733604161,0.4498636070513885,0.6405028615049716,0.7421232225120157,0.882946918874779
12,0.528328148604242,0.5791157490742606,0.687238583332933,0.8412102079552031,0.4871816243101286,0.5855071933176206,0.6903816550432651,0.8261956036490882
13,0.5258377173332253,0.5775027851213927,0.6861178306808319,0.8406436534642371,0.43634113389373624,0.6235115996592521,0.7242312526766842,0.8737337497256746
14,0.5195337555524877,0.5809880454948397,0.6892649936372757,0.8428162363442507,0.46262072596774007,0.611043919420603,0.712446624267856,0.8624003713562984
15,0.4953847670494908,0.5918821811547932,0.6988718631949696,0.8495728127683453,0.42399809504515373,0.616243059071238,0.7179496798298789,0.8596940800647608
